Area,Cow_Breed,No_of_Calves,Litres_of_water_Taken_by_the_cow_in_a_day,Feeding_Practices,Average_Temperature_of_the_Area,Yearly_Production
Rachuonyo North,Guernsey,3,104,Zero-grazing,25,8605
Suba North,Jersey,5,76,Grazing,25,7442
Rachuonyo North,Ayrshire,1,53,Grazing,20,7886
Suba South,Brown Swiss,2,120,Grazing,30,10964
Rachuonyo South,Ayrshire,3,89,Mixed,27,11838
Ndhiwa,Jersey,6,59,Mixed,25,3668
Homa Bay Town,Brown Swiss,2,83,Mixed,22,9653
Ndhiwa,Jersey,2,105,Grazing,17,11681
Suba North,Holstein-Friesian,4,87,Mixed,29,11678
Rachuonyo North,Brown Swiss,6,59,Zero-grazing,16,2816
Rachuonyo South,Jersey,6,65,Zero-grazing,16,3526
Suba North,Holstein-Friesian,5,50,Zero-grazing,15,7809
Homa Bay Town,Guernsey,7,53,Zero-grazing,24,6811
Homa Bay Town,Holstein-Friesian,6,66,Zero-grazing,21,2534
Rachuonyo South,Guernsey,7,72,Grazing,28,6004
Homa Bay Town,Holstein-Friesian,6,61,Zero-grazing,26,2294
Ndhiwa,Ayrshire,1,78,Mixed,19,8009
Ndhiwa,Brown Swiss,1,59,Zero-grazing,30,6008
Rachuonyo East,Ayrshire,4,88,Mixed,17,8503
Ndhiwa,Holstein-Friesian,4,103,Mixed,18,8659
Suba South,Jersey,6,60,Grazing,18,2070
Rachuonyo North,Ayrshire,6,56,Zero-grazing,23,2895
Rachuonyo East,Guernsey,2,88,Grazing,25,11533
Rachuonyo East,Brown Swiss,5,78,Zero-grazing,16,6755
Rachuonyo North,Brown Swiss,4,106,Grazing,23,10871
Rachuonyo North,Holstein-Friesian,6,56,Zero-grazing,20,3946
Rachuonyo South,Brown Swiss,1,56,Grazing,27,7661
Ndhiwa,Guernsey,3,108,Mixed,15,11662
Rachuonyo East,Jersey,4,107,Mixed,16,10965
Rachuonyo South,Holstein-Friesian,1,80,Grazing,17,7552
Suba North,Jersey,1,52,Grazing,23,5321
Rachuonyo East,Holstein-Friesian,2,100,Grazing,23,10244
Suba South,Holstein-Friesian,4,99,Zero-grazing,18,10975
Ndhiwa,Holstein-Friesian,4,91,Mixed,15,10918
Rachuonyo South,Guernsey,6,56,Mixed,18,3120
Homa Bay Town,Holstein-Friesian,4,80,Mixed,29,8840
Rachuonyo North,Guernsey,4,98,Zero-grazing,18,10249
Suba South,Jersey,1,71,Zero-grazing,19,5346
Homa Bay Town,Guernsey,7,60,Zero-grazing,27,7243
Suba North,Guernsey,5,66,Zero-grazing,26,7224
Ndhiwa,Brown Swiss,5,61,Grazing,18,7690
Rachuonyo South,Brown Swiss,5,70,Zero-grazing,25,7985
Rachuonyo East,Brown Swiss,2,83,Grazing,22,9562
Homa Bay Town,Jersey,7,62,Mixed,21,5166
Suba South,Ayrshire,6,66,Mixed,22,2822
Rachuonyo East,Ayrshire,7,57,Mixed,19,7898
Ndhiwa,Brown Swiss,3,112,Zero-grazing,20,10093
Homa Bay Town,Ayrshire,2,85,Grazing,25,10981
Suba South,Jersey,5,63,Mixed,26,6159
Homa Bay Town,Brown Swiss,6,66,Mixed,26,2183
Ndhiwa,Ayrshire,3,94,Zero-grazing,20,10176
Rachuonyo North,Jersey,2,118,Grazing,30,11265
Rachuonyo East,Guernsey,2,98,Mixed,25,11712
Ndhiwa,Jersey,6,60,Mixed,24,2557
Ndhiwa,Guernsey,1,52,Grazing,19,5209
Rachuonyo North,Jersey,5,62,Zero-grazing,20,8148
Rachuonyo North,Ayrshire,2,107,Mixed,17,11931
Homa Bay Town,Brown Swiss,1,50,Zero-grazing,17,6678
Suba South,Ayrshire,6,51,Mixed,26,3756
Homa Bay Town,Guernsey,5,63,Grazing,18,6921
